PID,CG Number,Gene Name,FBgn Number,GO Biofunction
1624408_at,CG18657,NetA,FBgn0015773,0007275 // multicellular organismal development // inferred from electronic annotation /// 0007399 // nervous system development // inferred from electronic annotation /// 0007411 // axon guidance // inferred from sequence or structural similarity /// 0007411 // axon guidance // non-traceable author statement /// 0008045 // motor axon guidance // inferred from mutant phenotype /// 0030154 // cell differentiation // inferred from electronic annotation
1624409_a_at,CG11315,CG11315,FBgn0039801,---
1624410_at,CG15658,CG15658,FBgn0034602,---
1624411_at,CG18437,CG18437,FBgn0039536,---
1624412_at,CG8376,ap,FBgn0000099,"0006350 // transcription // inferred from mutant phenotype /// 0006350 // transcription // traceable author statement /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007399 // nervous system development // inferred from mutant phenotype /// 0007399 // nervous system development // traceable author statement /// 0007411 // axon guidance // inferred from mutant phenotype /// 0007450 // dorsal/ventral pattern formation, imaginal disc // traceable author statement /// 0007451 // dorsal/ventral lineage restriction, imaginal disc // traceable author statement /// 0007472 // wing disc morphogenesis // non-traceable author statement /// 0007476 // imaginal disc-derived wing morphogenesis // traceable author statement /// 0007479 // leg disc proximal/distal pattern formation // inferred from mutant phenotype /// 0007481 // haltere disc morphogenesis // non-traceable author statement /// 0007517 // muscle development // inferred from mutant phenotype /// 0007517 // muscle development // traceable author statement /// 0007559 // histolysis // inferred from mutant phenotype /// 0035218 // leg disc development // inferred from mutant phenotype /// 0035286 // leg segmentation // inferred from mutant phenotype /// 0045165 // cell fate commitment // non-traceable author statement /// 0048190 // wing disc dorsal/ventral pattern formation // inferred from mutant phenotype /// 0048190 // wing disc dorsal/ventral pattern formation // traceable author statement"
1624413_at,CG14527,CG14527,FBgn0039613,0006508 // proteolysis // inferred from electronic annotation
1624414_at,CG10041,CG10041,FBgn0038014,0006508 // proteolysis // inferred from electronic annotation /// 0006508 // proteolysis // non-traceable author statement
1624415_s_at,CG8121,CG8121,FBgn0037680,---
1624416_at,S.C3R002565,---,---,---
1624417_a_at,CG10186,CG10186,FBgn0032797,0006810 // transport // inferred from electronic annotation
1624418_s_at,CG8580,akirin,FBgn0082598,0006955 // immune response // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007517 // muscle development // inferred from mutant phenotype /// 0009790 // embryonic development // inferred from mutant phenotype /// 0016203 // muscle attachment // inferred from mutant phenotype /// 0045087 // innate immune response // inferred from electronic annotation /// 0045089 // positive regulation of innate immune response // inferred from mutant phenotype /// 0050829 // defense response to Gram-negative bacterium // inferred from mutant phenotype
1624419_a_at,CG8439,Cct5,FBgn0010621,0006457 // protein folding // inferred from sequence or structural similarity /// 0006457 // protein folding // inferred from electronic annotation /// 0007052 // mitotic spindle organization // inferred from mutant phenotype /// 0044267 // cellular protein metabolic process // inferred from electronic annotation
1624420_at,CG17118,CG17118,FBgn0032291,0048813 // dendrite morphogenesis // inferred from mutant phenotype
1624421_at,Dm.2R.17666.0,Not1,FBgn0085436,0007517 // muscle development // inferred from mutant phenotype /// 0048813 // dendrite morphogenesis // inferred from mutant phenotype
1624422_at,HDC07552,---,---,---
1624423_at,CG5945,CG5945,FBgn0032494,---
1624424_at,CG13587,CG13587,FBgn0035031,---
1624425_at,CG7384,CG7384,FBgn0032262,---
1624426_at,HDC13364,---,---,---
1624427_at,CG10646,CG10646,FBgn0036292,---
1624428_at,CG7327,Eig71Ei,FBgn0014849,---
1624429_at,CG3967,CG3967,FBgn0035989,---
1624430_at,CG13158,Or49a,FBgn0033727,0007165 // signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // non-traceable author statement /// 0007608 // sensory perception of smell // inferred from sequence or structural similarity /// 0007608 // sensory perception of smell // inferred from electronic annotation /// 0007608 // sensory perception of smell // non-traceable author statement /// 0042048 // olfactory behavior // inferred from mutant phenotype /// 0050896 // response to stimulus // inferred from electronic annotation /// 0050911 // detection of chemical stimulus involved in sensory perception of smell // inferred from mutant phenotype
1624431_at,CG15908,CG15908,FBgn0033085,---
1624432_at,CG7104,Spz3,FBgn0031959,---
1624433_at,CG10589,CG10589,FBgn0037035,---
1624434_at,CG6868,tld,FBgn0003719,"0006508 // proteolysis // non-traceable author statement /// 0006508 // proteolysis // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007313 // maternal specification of dorsal/ventral axis, oocyte, soma encoded // inferred from mutant phenotype /// 0007352 // zygotic determination of dorsal/ventral axis // non-traceable author statement /// 0007362 // terminal region determination // inferred from genetic interaction /// 0007378 // amnioserosa formation // non-traceable author statement /// 0008293 // torso signaling pathway // inferred from genetic interaction /// 0008586 // imaginal disc-derived wing vein morphogenesis // inferred from mutant phenotype /// 0009880 // embryonic pattern specification // traceable author statement /// 0017015 // regulation of transforming growth factor beta receptor signaling pathway // traceable author statement /// 0030513 // positive regulation of BMP signaling pathway // traceable author statement /// 0051605 // protein maturation via proteolysis // inferred from direct assay"
1624435_at,CG12143,Tsp42Ej,FBgn0033132,---
1624436_at,Dm.3R.41468.0,---,---,---
1624437_s_at,CG6671,AGO1,FBgn0026611,"0006342 // chromatin silencing // inferred from mutant phenotype /// 0006508 // proteolysis // inferred from electronic annotation /// 0006508 // proteolysis // non-traceable author statement /// 0006508 // proteolysis // inferred from sequence or structural similarity /// 0007349 // cellularization // inferred from genetic interaction /// 0007367 // segment polarity determination // inferred from genetic interaction /// 0007416 // synaptogenesis // traceable author statement /// 0016246 // RNA interference // inferred from genetic interaction /// 0016246 // RNA interference // traceable author statement /// 0030422 // RNA interference, production of siRNA // inferred from mutant phenotype /// 0030423 // RNA interference, targeting of mRNA for destruction // inferred from mutant phenotype /// 0035195 // gene silencing by miRNA // inferred from mutant phenotype /// 0035196 // gene silencing by miRNA, production of miRNAs // inferred from mutant phenotype /// 0035279 // gene silencing by miRNA, mRNA cleavage // inferred from direct assay /// 0035279 // gene silencing by miRNA, mRNA cleavage // inferred from mutant phenotype"
1624438_at,CG5017,CG5017,FBgn0039553,0006334 // nucleosome assembly // inferred from sequence or structural similarity /// 0006334 // nucleosome assembly // inferred from electronic annotation
1624439_at,CG4169,CG4169,FBgn0036642,0006508 // proteolysis // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation
1624440_at,AM01482,AM01482,,---
1624441_at,CG18389,Eip93F,FBgn0013948,"0006911 // phagocytosis, engulfment // traceable author statement /// 0006914 // autophagy // inferred from mutant phenotype /// 0008628 // induction of apoptosis by hormones // inferred from mutant phenotype /// 0035069 // larval midgut histolysis // traceable author statement /// 0035071 // salivary gland cell autophagic cell death // inferred from expression pattern /// 0035071 // salivary gland cell autophagic cell death // non-traceable author statement /// 0035072 // ecdysone-mediated induction of salivary gland cell autophagic cell death // traceable author statement /// 0045449 // regulation of transcription // non-traceable author statement /// 0045893 // positive regulation of transcription, DNA-dependent // traceable author statement /// 0048102 // autophagic cell death // inferred from expression pattern /// 0048102 // autophagic cell death // traceable author statement"
1624442_at,CG12586,CG12586,FBgn0037260,---
1624443_s_at,CG6294,CG6294,FBgn0030640,0006508 // proteolysis // inferred from electronic annotation /// 0046836 // glycolipid transport // inferred from sequence or structural similarity /// 0046836 // glycolipid transport // inferred from electronic annotation
1624444_at,CG17946,Mst84Da,FBgn0004172,0007275 // multicellular organismal development // inferred from electronic annotation /// 0007283 // spermatogenesis // inferred from electronic annotation /// 0030154 // cell differentiation // inferred from electronic annotation
1624445_at,HDC09867,---,---,---
1624446_at,Dm.3R.41956.0,---,---,---
1624447_s_at,CG2048,dco,FBgn0002413,0001737 // establishment of imaginal disc-derived wing hair orientation // inferred from mutant phenotype /// 0006468 // protein amino acid phosphorylation // inferred from direct assay /// 0006468 // protein amino acid phosphorylation // non-traceable author statement /// 0006468 // protein amino acid phosphorylation // traceable author statement /// 0006468 // protein amino acid phosphorylation // inferred from electronic annotation /// 0007154 // cell communication // inferred from mutant phenotype /// 0007446 // imaginal disc growth // inferred from mutant phenotype /// 0007555 // regulation of ecdysteroid secretion // inferred from mutant phenotype /// 0007622 // rhythmic behavior // traceable author statement /// 0007623 // circadian rhythm // inferred from mutant phenotype /// 0007623 // circadian rhythm // inferred from physical interaction /// 0007623 // circadian rhythm // non-traceable author statement /// 0007623 // circadian rhythm // traceable author statement /// 0008062 // eclosion rhythm // traceable author statement /// 0016055 // Wnt receptor signaling pathway // inferred from mutant phenotype /// 0030307 // positive regulation of cell growth // inferred from mutant phenotype /// 0030431 // sleep // non-traceable author statement /// 0042067 // establishment of ommatidial polarity // inferred from mutant phenotype /// 0042306 // regulation of protein import into nucleus // traceable author statement /// 0043066 // negative regulation of apoptosis // inferred from mutant phenotype /// 0045475 // locomotor rhythm // non-traceable author statement /// 0048148 // behavioral response to cocaine // inferred from mutant phenotype /// 0048148 // behavioral response to cocaine // non-traceable author statement /// 0048511 // rhythmic process // inferred from electronic annotation /// 0051781 // positive regulation of cell division // inferred from mutant phenotype
1624448_at,CG6356,CG6356,FBgn0039178,0006810 // transport // inferred from electronic annotation
1624449_at,CT35683,,---,---
1624450_at,CG6331,Orct,FBgn0019952,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation /// 0006915 // apoptosis // traceable author statement /// 0015695 // organic cation transport // inferred from sequence or structural similarity
1624451_at,CG2879,CG2879,FBgn0025834,---
1624452_a_at,CG10118,ple,FBgn0005626,0006584 // catecholamine metabolic process // non-traceable author statement /// 0007268 // synaptic transmission // inferred from electronic annotation /// 0007619 // courtship behavior // non-traceable author statement /// 0008344 // adult locomotory behavior // inferred from mutant phenotype /// 0009072 // aromatic amino acid family metabolic process // inferred from electronic annotation /// 0042053 // regulation of dopamine metabolic process // non-traceable author statement /// 0042136 // neurotransmitter biosynthetic process // inferred from electronic annotation /// 0042423 // catecholamine biosynthetic process // inferred from electronic annotation /// 0048066 // pigmentation during development // traceable author statement /// 0055114 // oxidation reduction // inferred from electronic annotation
1624453_at,S.C2L002550,---,---,---
1624454_at,CG10361,CG10361,FBgn0036208,0006520 // amino acid metabolic process // inferred from sequence or structural similarity /// 0008152 // metabolic process // inferred from electronic annotation /// 0009058 // biosynthetic process // inferred from electronic annotation
1624455_at,HDC12136,---,---,---
1624456_at,CG17154,CG17154,FBgn0036246,---
1624457_at,CG5906,CG5906,FBgn0036217,---
1624458_at,CG6083,CG6083,FBgn0036183,0016319 // mushroom body development // inferred from mutant phenotype /// 0055114 // oxidation reduction // inferred from electronic annotation
1624459_at,CG7345,Sox21a,FBgn0036411,"0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006911 // phagocytosis, engulfment // inferred from mutant phenotype /// 0045449 // regulation of transcription // inferred from sequence or structural similarity"
1624460_s_at,CG31624,CG31624,FBgn0051624,---
1624461_at,S.C2R002295,---,---,---
1624462_at,CG32331,CG32331,,---
1624463_s_at,CG3307,pr-set7,FBgn0011474,"0000077 // DNA damage checkpoint // inferred from direct assay /// 0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007049 // cell cycle // inferred from electronic annotation /// 0007067 // mitosis // inferred from electronic annotation /// 0016568 // chromatin modification // inferred from electronic annotation /// 0016571 // histone methylation // inferred from mutant phenotype /// 0016571 // histone methylation // non-traceable author statement /// 0016571 // histone methylation // traceable author statement /// 0030261 // chromosome condensation // inferred from direct assay /// 0030261 // chromosome condensation // inferred from genetic interaction /// 0035067 // negative regulation of histone acetylation // traceable author statement /// 0051301 // cell division // inferred from electronic annotation"
1624464_s_at,CG17309,CG17309,FBgn0086903,0006468 // protein amino acid phosphorylation // inferred from electronic annotation
1624465_at,CG6850,Ugt,FBgn0014075,0006486 // protein amino acid glycosylation // inferred from electronic annotation /// 0006486 // protein amino acid glycosylation // non-traceable author statement
1624466_a_at,CG15117,CG15117,FBgn0034417,0005975 // carbohydrate metabolic process // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation
1624467_a_at,CG8046,CG8046,FBgn0033388,0006072 // glycerol-3-phosphate metabolic process // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation
1624468_a_at,CG10026,CG10026,FBgn0032785,0006810 // transport // inferred from electronic annotation
1624469_at,CG8985,DmsR-1,FBgn0035331,0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from sequence or structural similarity /// 0045932 // negative regulation of muscle contraction // non-traceable author statement
1624470_at,CG31670,CG31670,FBgn0031375,---
1624471_s_at,CG12051,Act42A,FBgn0000043,"0000910 // cytokinesis // inferred from mutant phenotype /// 0006911 // phagocytosis, engulfment // inferred from mutant phenotype /// 0007010 // cytoskeleton organization // inferred from sequence or structural similarity"
1624472_at,CG10486,CG10486,FBgn0035647,0006810 // transport // inferred from electronic annotation
1624473_at,CG5553,CG5553,FBgn0011425,"0000084 // S phase of mitotic cell cycle // inferred from mutant phenotype /// 0001745 // compound eye morphogenesis // inferred from mutant phenotype /// 0006260 // DNA replication // inferred from electronic annotation /// 0006260 // DNA replication // inferred from mutant phenotype /// 0006269 // DNA replication, synthesis of RNA primer // inferred from electronic annotation /// 0006350 // transcription // inferred from electronic annotation"
1624474_at,CG4287,CG4287,FBgn0038388,---
1624475_at,CG10687,Aats-asn,FBgn0086443,0006412 // translation // inferred from electronic annotation /// 0006418 // tRNA aminoacylation for protein translation // inferred from electronic annotation /// 0006421 // asparaginyl-tRNA aminoacylation // inferred from electronic annotation /// 0006421 // asparaginyl-tRNA aminoacylation // non-traceable author statement /// 0006422 // aspartyl-tRNA aminoacylation // inferred from electronic annotation
1624476_at,CG5185,Tom,FBgn0026320,0001708 // cell fate specification // inferred from mutant phenotype /// 0001736 // establishment of planar polarity // inferred from mutant phenotype /// 0007219 // Notch signaling pathway // inferred from genetic interaction /// 0007219 // Notch signaling pathway // inferred from mutant phenotype /// 0007423 // sensory organ development // inferred from mutant phenotype /// 0016360 // sensory organ precursor cell fate determination // inferred from mutant phenotype
1624477_at,HDC05334,---,---,---
1624478_at,CG16982,Roc1a,FBgn0025638,0006508 // proteolysis // inferred from mutant phenotype /// 0006508 // proteolysis // traceable author statement /// 0006511 // ubiquitin-dependent protein catabolic process // inferred from electronic annotation /// 0007224 // smoothened signaling pathway // inferred from mutant phenotype /// 0007224 // smoothened signaling pathway // non-traceable author statement /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0008283 // cell proliferation // inferred from mutant phenotype /// 0016567 // protein ubiquitination // inferred from direct assay /// 0042787 // protein ubiquitination during ubiquitin-dependent protein catabolic process // non-traceable author statement
1624479_at,CG6800,CG6800,FBgn0038902,0006468 // protein amino acid phosphorylation // inferred from electronic annotation /// 0006468 // protein amino acid phosphorylation // inferred from sequence or structural similarity /// 0006468 // protein amino acid phosphorylation // non-traceable author statement
1624480_at,CG5479,mRpL43,FBgn0034893,0006412 // translation // inferred from sequence or structural similarity
1624481_a_at,CG31534,CG31534,FBgn0051534,---
1624482_at,CG8571,smid,FBgn0016983,0006508 // proteolysis // inferred from electronic annotation
1624483_at,CG13472,CG13472,FBgn0036450,0000245 // spliceosome assembly // inferred from electronic annotation /// 0006397 // mRNA processing // inferred from electronic annotation
1624484_a_at,CG10159,BEAF-32,FBgn0015602,0006325 // establishment or maintenance of chromatin architecture // inferred from mutant phenotype /// 0006357 // regulation of transcription from RNA polymerase II promoter // inferred from direct assay /// 0048477 // oogenesis // inferred from mutant phenotype
1624485_at,CG6867,CG6867,FBgn0030887,---
1624486_at,CG12835,CG12835,FBgn0033142,---
1624487_at,CG11475,CG11475,FBgn0034687,---
1624488_a_at,CG17734,CG17734,FBgn0037890,---
1624489_a_at,CG11596,CG11596,FBgn0023522,---
1624490_s_at,CG9786,hb,FBgn0001180,"0001763 // morphogenesis of a branching structure // traceable author statement /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007354 // zygotic determination of anterior/posterior axis, embryo // non-traceable author statement /// 0007354 // zygotic determination of anterior/posterior axis, embryo // traceable author statement /// 0007355 // anterior region determination // non-traceable author statement /// 0007362 // terminal region determination // inferred from genetic interaction /// 0007400 // neuroblast fate determination // inferred from expression pattern /// 0007400 // neuroblast fate determination // inferred from mutant phenotype /// 0007402 // ganglion mother cell fate determination // traceable author statement /// 0007417 // central nervous system development // traceable author statement /// 0007419 // ventral cord development // non-traceable author statement /// 0007424 // open tracheal system development // traceable author statement /// 0007427 // epithelial cell migration, open tracheal system // traceable author statement /// 0007431 // salivary gland development // traceable author statement /// 0008293 // torso signaling pathway // inferred from genetic interaction /// 0008595 // determination of anterior/posterior axis, embryo // non-traceable author statement /// 0035282 // segmentation // inferred from electronic annotation /// 0035289 // posterior head segmentation // traceable author statement /// 0035290 // trunk segmentation // traceable author statement /// 0040034 // regulation of development, heterochronic // traceable author statement /// 0042659 // regulation of cell fate specification // traceable author statement /// 0045449 // regulation of transcription // non-traceable author statement /// 0045941 // positive regulation of transcription // inferred from direct assay"
1624491_a_at,CG12287,pdm2,FBgn0004394,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from sequence or structural similarity /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from mutant phenotype /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007398 // ectoderm development // inferred from mutant phenotype /// 0007399 // nervous system development // non-traceable author statement /// 0007417 // central nervous system development // inferred from mutant phenotype /// 0045449 // regulation of transcription // inferred from electronic annotation"
1624492_at,CG9597,Pbp45,FBgn0038371,0042795 // snRNA transcription from RNA polymerase II promoter // inferred from direct assay /// 0042796 // snRNA transcription from RNA polymerase III promoter // inferred from direct assay /// 0065004 // protein-DNA complex assembly // inferred from direct assay
1624493_at,Dm.X.50771.0,---,---,0006730 // one-carbon compound metabolic process // inferred from electronic annotation
1624494_at,Dm.X.54993.0,---,---,---
1624495_at,S.C3R000374,---,---,---
1624496_at,CG10203,xl6,FBgn0028554,"0000398 // nuclear mRNA splicing, via spliceosome // inferred from sequence or structural similarity /// 0000398 // nuclear mRNA splicing, via spliceosome // non-traceable author statement /// 0006376 // mRNA splice site selection // inferred from sequence or structural similarity /// 0007399 // nervous system development // non-traceable author statement"
1624497_at,CR31541,---,FBgn0037309,---
1624498_at,CG30045,Cpr49Aa,FBgn0050045,---
1624499_s_at,CG9911,CG9911,FBgn0030734,0045454 // cell redox homeostasis // inferred from electronic annotation
1624500_at,HDC15114,---,---,---
1624501_at,CG12496,CG12496,FBgn0040385,---
1624502_a_at,CG1104,CG1104,FBgn0037467,---
1624503_at,CG4786,CG4786,FBgn0037012,---
1624504_s_at,CG6851,Mtch,FBgn0027786,0006810 // transport // inferred from electronic annotation
1624505_at,CG6113,Lip4,FBgn0032264,0006629 // lipid metabolic process // inferred from electronic annotation
1624506_at,CG8871,Jon25Biii,FBgn0031653,0006508 // proteolysis // inferred from electronic annotation /// 0006508 // proteolysis // non-traceable author statement
1624507_at,CG31268,CG31268,FBgn0051268,---
1624508_at,CG13526,CG13526,FBgn0034774,---
1624509_at,CG8695,LvpL,FBgn0002571,0005975 // carbohydrate metabolic process // inferred from electronic annotation /// 0006006 // glucose metabolic process // non-traceable author statement /// 0008152 // metabolic process // inferred from electronic annotation
1624510_at,CG30023,sprt,FBgn0082585,0007508 // larval heart development // inferred from mutant phenotype
1624511_s_at,S.C2R002095,---,---,---
1624512_at,CG34386,CG34386,FBgn0085415,---
1624513_at,CG4806,CG4806,FBgn0035048,---
1624514_at,CG32090,Vha16-3,FBgn0028667,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation /// 0015986 // ATP synthesis coupled proton transport // inferred from electronic annotation /// 0015992 // proton transport // inferred from electronic annotation /// 0046034 // ATP metabolic process // inferred from electronic annotation
1624515_at,CG6461,CG6461,FBgn0030932,---
1624516_at,HDC08316,---,---,---
1624517_at,CG3132,Ect3,FBgn0037977,0005975 // carbohydrate metabolic process // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0035071 // salivary gland cell autophagic cell death // inferred from expression pattern /// 0048102 // autophagic cell death // inferred from expression pattern
1624518_at,CG13369,CG13369,FBgn0025640,0006014 // D-ribose metabolic process // inferred from electronic annotation
1624519_at,CG8770,Gbeta76C,FBgn0004623,0007165 // signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // non-traceable author statement /// 0007202 // activation of phospholipase C activity // inferred from mutant phenotype /// 0007601 // visual perception // inferred from electronic annotation /// 0007602 // phototransduction // inferred from direct assay /// 0007602 // phototransduction // inferred from mutant phenotype /// 0016056 // rhodopsin mediated signaling pathway // inferred from mutant phenotype /// 0016059 // deactivation of rhodopsin mediated signaling // inferred from mutant phenotype /// 0016059 // deactivation of rhodopsin mediated signaling // traceable author statement /// 0050896 // response to stimulus // inferred from electronic annotation
1624520_a_at,CG4059,ftz-f1,FBgn0001078,"0002165 // instar larval or pupal development // inferred from mutant phenotype /// 0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // non-traceable author statement /// 0007365 // periodic partitioning // inferred from mutant phenotype /// 0007552 // metamorphosis // traceable author statement /// 0008219 // cell death // traceable author statement /// 0009725 // response to hormone stimulus // traceable author statement /// 0035071 // salivary gland cell autophagic cell death // non-traceable author statement /// 0035075 // response to ecdysone // traceable author statement /// 0040034 // regulation of development, heterochronic // traceable author statement /// 0042048 // olfactory behavior // inferred from mutant phenotype"
1624521_a_at,CG17896,CG17896,FBgn0023537,0006206 // pyrimidine base metabolic process // inferred from sequence or structural similarity /// 0006573 // valine metabolic process // inferred from sequence or structural similarity /// 0006573 // valine metabolic process // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0019859 // thymine metabolic process // inferred from sequence or structural similarity /// 0055114 // oxidation reduction // inferred from electronic annotation
1624522_at,CG5302,CG5302,FBgn0038351,0006508 // proteolysis // inferred from electronic annotation
1624523_at,CG32683,CG32683,FBgn0052683,0007165 // signal transduction // inferred from electronic annotation /// 0007600 // sensory perception // inferred from electronic annotation
1624524_at,HDC14600,---,---,---
1624525_at,CG12998,CG12998,FBgn0030829,---
1624526_s_at,S.C3R000890,---,---,---
1624527_at,CG11194,Hey,FBgn0027788,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007219 // Notch signaling pathway // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation /// 0045746 // negative regulation of Notch signaling pathway // inferred from sequence or structural similarity"
1624528_at,CG14886,Gyc-89Db,FBgn0038436,0000302 // response to reactive oxygen species // inferred from direct assay /// 0006182 // cGMP biosynthetic process // inferred from electronic annotation /// 0006182 // cGMP biosynthetic process // inferred from direct assay /// 0006184 // GTP catabolic process // inferred from direct assay /// 0007242 // intracellular signaling cascade // inferred from electronic annotation /// 0009190 // cyclic nucleotide biosynthetic process // inferred from electronic annotation
1624529_at,CG3922,RpS17,FBgn0005533,0006412 // translation // inferred from sequence or structural similarity /// 0006412 // translation // inferred from electronic annotation
1624530_at,CG5701,RhoBTB,FBgn0036980,0007264 // small GTPase mediated signal transduction // inferred from electronic annotation
1624531_s_at,GH25505,---,---,---
1624532_a_at,CG7051,CG7051,FBgn0035100,0007018 // microtubule-based movement // inferred from sequence or structural similarity
1624533_s_at,CG8651,trx,FBgn0003862,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0008354 // germ cell migration // inferred from mutant phenotype /// 0008354 // germ cell migration // traceable author statement /// 0016568 // chromatin modification // inferred from electronic annotation /// 0016571 // histone methylation // inferred from direct assay /// 0016571 // histone methylation // traceable author statement /// 0048096 // chromatin-mediated maintenance of transcription // non-traceable author statement"
1624534_at,CG10781,ng1,FBgn0002933,0007594 // puparial adhesion // non-traceable author statement
1624535_at,CG33229,CG33229,FBgn0053229,---
1624536_at,CG30130,CG30130,FBgn0050130,---
1624537_s_at,CG9866,CG9866,FBgn0031420,---
1624538_at,HDC07447,---,---,---
1624539_at,CG5871,CG5871,FBgn0038870,0008152 // metabolic process // inferred from electronic annotation
1624540_at,CG14642,CG14642,FBgn0037222,0006508 // proteolysis // inferred from electronic annotation /// 0006508 // proteolysis // non-traceable author statement
1624541_at,CG1412,RhoGAP19D,FBgn0031118,0007165 // signal transduction // inferred from electronic annotation
1624542_at,CG31757,Pde1c,FBgn0051757,0007165 // signal transduction // inferred from electronic annotation
1624543_s_at,Transposon.32,---,---,---
1624544_at,HDC16662,---,---,---
1624545_at,CG32504,CG32504,FBgn0052504,---
1624546_at,HDC17336,---,---,---
1624547_s_at,CG10851,B52,FBgn0004587,"0000381 // regulation of alternative nuclear mRNA splicing, via spliceosome // inferred from mutant phenotype /// 0000398 // nuclear mRNA splicing, via spliceosome // inferred from direct assay /// 0000398 // nuclear mRNA splicing, via spliceosome // non-traceable author statement /// 0006376 // mRNA splice site selection // inferred from sequence or structural similarity /// 0006397 // mRNA processing // inferred from electronic annotation /// 0008380 // RNA splicing // inferred from electronic annotation /// 0048024 // regulation of nuclear mRNA splicing, via spliceosome // inferred from mutant phenotype"
1624548_at,CG18287,ppk19,FBgn0039679,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation /// 0006814 // sodium ion transport // inferred from electronic annotation /// 0050914 // sensory perception of salty taste // inferred from mutant phenotype
1624549_at,CG3523,CG3523,FBgn0027571,0008152 // metabolic process // inferred from electronic annotation /// 0009058 // biosynthetic process // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation
1624550_at,CG7562,Trf,FBgn0010287,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006357 // regulation of transcription from RNA polymerase II promoter // traceable author statement /// 0006359 // regulation of transcription from RNA polymerase III promoter // inferred from direct assay /// 0006359 // regulation of transcription from RNA polymerase III promoter // traceable author statement /// 0006367 // transcription initiation from RNA polymerase II promoter // inferred from direct assay /// 0006367 // transcription initiation from RNA polymerase II promoter // inferred from sequence or structural similarity /// 0006367 // transcription initiation from RNA polymerase II promoter // inferred from electronic annotation /// 0006384 // transcription initiation from RNA polymerase III promoter // inferred from expression pattern /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from direct assay"
1624551_at,CG31861,CG31861,FBgn0051861,---
1624552_at,CG3740,CG3740,FBgn0023530,---
1624553_a_at,CG14098,CG14098,FBgn0036884,---
1624554_at,CG3703,CG3703,FBgn0040348,---
1624555_at,CG6338,Ets97D,FBgn0004510,"0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006357 // regulation of transcription from RNA polymerase II promoter // inferred from sequence or structural similarity /// 0045451 // pole plasm oskar mRNA localization // inferred from mutant phenotype"
